mask:255
date, calc, real
0, -339.66, -335.66
0.0034722, -286.38, -298.37
0.0069444, -279.05, -271.73
0.010417, -275.72, -271.72
0.013889, -251.75, -271.72
0.017361, -227.14, -223.77
0.020833, -230.29, -223.77
0.024306, -248.89, -223.78
0.027778, -375.62, -359.02
0.03125, -333.46, -347.08
0.034722, -224.32, -289.39
0.038194, 175.82, 225.46
0.041667, 268.42, 254.06
0.045139, 269.13, 266.4
0.048611, 285.43, 296.84
0.052083, 279.72, 287.71
0.055556, 202.87, 191.81
0.059028, 188.61, 191.81
0.0625, 188.61, 191.81
0.065972, 63.935, -0.0007717
0.069444, -189.47, -191.81
0.072917, -189.99, -191.81
0.076389, -201.4, -191.81
0.079861, -209.07, -209.07
0.083333, -166.69, -180.74
0.086806, 52.004, -1.6535
0.090278, 8.6488, 3.1967
0.09375, -38.647, 14.046
0.097222, 120.65, 137.46
0.10069, 264.35, 179.13
0.10417, 164.57, 163.83
0.10694, 191.81, 191.8
0.11042, 191.81, 191.81
0.11389, 191.81, 191.81
0.11736, 121.77, 154.51
0.12083, 40.38, -25.574
0.12431, -16.285, 7.9919
0.12778, 97.31, 42.624
0.13125, -181.15, -179.02
0.13472, -215.52, -216.06
0.13819, -127.87, 31.966
0.14167, 14.208, 31.968
0.14514, -27.528, 31.968
0.14861, 95.903, 117.22
0.15208, 223.77, 223.77
0.15556, 223.77, 223.77
0.15903, 223.77, 223.77
0.1625, 223.77, 223.77
0.16597, 59.369, 61.585
0.16944, 42.624, -97.132
0.17292, -249.89, -159.43
0.17639, -2.0757, -142.17
0.17986, -117.46, -92.429
0.18333, -170.43, -166.69
0.18681, -111.89, -111.89
0.19028, -111.89, -111.89
0.19375, -111.89, -111.89
0.19722, 199.18, 223.77
0.20069, 227.12, 223.77
0.20417, 234.99, 223.77
0.20764, 204.31, 202.46
0.21111, -121.99, -43.956
0.21458, 43.896, -29.788
0.21806, -35.061, -52.158
0.22153, -212.49, -203.58
0.225, -199.8, -185.41
0.22847, -190.67, -191.81
0.23194, -188.35, -208.73
0.23542, -104.31, -84.278
0.23889, 140.73, 133.51
0.24236, 164.76, 179.3
0.24583, 130.21, 163.6
0.24931, 71.927, 101.02
0.25278, 17.506, 106.56
0.25625, -127.52, -51.948
0.25972, 13.078, -62.706
0.26319, 71.927, 154.51
0.26667, 244.04, 163.04
0.27014, -184.96, -217.63
0.27361, -231.42, -232.57
0.27708, -83.117, -179.82
0.28056, 147.78, 202.46
0.28403, 143.87, 167.36
0.2875, 187.81, 189.52
0.29097, 227.77, 260.66
0.29444, 306.69, 265.73
0.29792, 31.969, -27.973
0.30139, -127.19, -127.14
0.30486, -129.87, -129.87
0.30833, -181.15, -255.74
0.31181, -278.12, -255.74
0.31528, -240.82, -255.74
0.31875, -181.15, -221.78
0.32222, -69.855, -189.14
